Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2020-08-10	76.60	99.14	5894700.00	503200.00
2020-08-11	77.58	99.21	4454700.00	613000.00
2020-08-12	78.65	100.25	3597800.00	279700.00
2020-08-13	77.79	99.42	2273800.00	512700.00
2020-08-14	78.03	99.64	2396400.00	313600.00
2020-08-17	77.78	99.32	1902200.00	637400.00
2020-08-18	77.31	99.56	2127300.00	395800.00
2020-08-19	77.01	100.42	1429400.00	456500.00
2020-08-20	76.07	101.31	1565500.00	627400.00
2020-08-21	75.48	101.70	2152500.00	867100.00
2020-08-24	76.85	102.19	2270100.00	680200.00
2020-08-25	81.23	100.70	3943300.00	562900.00
2020-08-26	83.56	101.50	3731100.00	434200.00
2020-08-27	83.67	101.51	2537800.00	705000.00
2020-08-28	82.83	100.98	1666100.00	605300.00
2020-08-31	82.78	99.71	3064900.00	827900.00
2020-09-01	81.90	101.58	2025000.00	789100.00
2020-09-02	81.94	103.38	1692400.00	502100.00
2020-09-03	81.42	101.55	2052700.00	818600.00
2020-09-04	81.37	99.29	2337800.00	859200.00
2020-09-08	80.16	99.67	2293200.00	791300.00
2020-09-09	80.72	101.26	1544700.00	528200.00
2020-09-10	79.83	100.11	1238300.00	320600.00
2020-09-11	80.51	100.86	1615800.00	217100.00
2020-09-14	81.36	102.37	1463900.00	659500.00
2020-09-15	81.25	103.56	1287500.00	561200.00
2020-09-16	80.64	102.46	1576300.00	229700.00
2020-09-17	80.79	101.71	1717800.00	270100.00
2020-09-18	80.23	102.23	3300900.00	1005700.00
2020-09-21	79.17	102.35	1671000.00	418400.00
2020-09-22	78.04	103.99	1544500.00	279200.00
2020-09-23	77.65	103.70	1278800.00	430700.00
2020-09-24	77.99	103.42	1526500.00	296300.00
2020-09-25	77.98	105.22	1300500.00	306900.00
2020-09-28	79.59	107.19	1350800.00	383900.00
2020-09-29	78.17	107.04	2461300.00	254600.00
2020-09-30	77.84	106.26	4141200.00	392200.00
2020-10-01	77.08	106.95	1720500.00	275800.00
2020-10-02	77.40	106.66	3702100.00	338100.00
2020-10-05	78.45	107.51	3557500.00	255800.00
2020-10-06	80.37	106.96	3934900.00	312700.00
2020-10-07	81.72	107.75	2186600.00	330500.00
2020-10-08	82.21	107.72	3700700.00	307100.00
2020-10-09	81.78	108.14	3752800.00	344400.00
2020-10-13	81.39	109.03	4889900.00	506900.00
2020-10-14	80.94	108.68	3543600.00	387300.00
2020-10-15	81.01	109.64	1295400.00	308500.00
2020-10-16	80.99	109.14	1445700.00	401800.00
2020-10-19	79.78	108.14	3008900.00	365100.00
2020-10-20	80.86	108.13	3351200.00	367100.00
2020-10-21	81.95	108.17	3838900.00	253400.00
2020-10-22	82.73	107.71	3873300.00	615600.00
2020-10-23	84.09	107.63	2899400.00	272900.00
2020-10-26	83.65	106.84	3744000.00	359100.00
2020-10-27	82.08	105.88	6615400.00	341900.00
2020-10-28	80.08	103.98	7170500.00	474700.00
2020-10-29	81.08	103.83	3056700.00	230800.00
2020-10-30	79.33	103.58	4793500.00	420300.00
2020-11-02	79.50	104.55	3004700.00	579500.00
2020-11-03	81.53	108.26	5595900.00	451300.00
2020-11-04	82.68	110.17	8269300.00	946200.00
2020-11-05	82.09	111.98	3720700.00	593100.00
2020-11-06	81.38	113.34	3724000.00	329800.00
2020-11-09	84.89	109.67	8452000.00	780000.00
2020-11-10	87.57	108.68	4138300.00	733200.00
2020-11-11	87.35	110.46	3160500.00	929400.00
2020-11-12	86.77	109.36	1972500.00	348400.00
2020-11-13	87.54	109.26	2021500.00	344600.00
2020-11-16	89.66	107.58	4699700.00	720100.00
2020-11-17	90.82	105.99	4617800.00	966100.00
2020-11-18	91.51	105.08	2011000.00	840600.00
2020-11-19	92.27	105.20	1985400.00	431500.00
2020-11-20	93.35	105.64	2494900.00	480300.00
2020-11-23	94.84	104.89	1830500.00	523100.00
2020-11-24	97.28	103.38	2891500.00	557900.00
2020-11-25	97.04	104.03	3411300.00	307900.00
2020-11-26	97.16	103.43	742900.00	106300.00
2020-11-27	96.77	103.70	1189600.00	233500.00
2020-11-30	93.33	102.94	3665200.00	874400.00
2020-12-01	96.52	103.10	2718500.00	662500.00
2020-12-02	97.33	103.39	2109900.00	685000.00
2020-12-03	97.76	103.48	1927100.00	374100.00
2020-12-04	98.05	104.14	1401200.00	330800.00
2020-12-07	97.39	103.44	2858100.00	254500.00
2020-12-08	97.65	103.32	1868200.00	433100.00
2020-12-09	98.33	103.53	1335400.00	504500.00
